,Прибыль в расчете на 1 работника,"Возраст компании, лет",Чистые активы на 1 работника,Налоговая нагрузка,Налоги на 1 работника,Кредиторская задолженность на 1 работника,Фондовооруженность,Доля внеоборотных активов в общих,"2021, Коэффициент оборачиваемости совокупных активов, %","2021, Соотношение чистого долга к капиталу, %","2021, Коэффициент концентрации собственного капитала (автономии), %","2021, Коэффициент маневренности собственных средств, %","2021, Доля себестоимости как процент от выручки, %"
115,315000.0,3.5,6881000.0,0.015836126722037103,79604.25,2219000.0,2478250.0,0.2726098901098901,0.6793,-0.0039,0.7562,0.6395,0.9373
116,839490.8536585366,18.5,6102692.073170732,0.04787152330010675,254988.10670731709,661987.8048780488,4304283.536585365,0.48376982718202094,0.5292,0.5655,0.5683,0.1223,0.8198
117,254000.0,16.0,-2505350.0,0.009425363974742031,28096.7,2801000.0,51000.0,0.16666666666666666,2.1667,-0.3016,-0.6814250000000001,1.0078,0.4858
118,482023.8095238095,14.5,3854119.0476190476,0.07848555013003557,140832.97619047618,46714.28571428572,2615285.714285714,0.6114970939942548,0.4481,-0.0733,0.9012,0.2583,0.7314
119,927000.0,8.0,1241000.0,0.009425363974742031,119945.0,133000.0,0.0,0.0,2.3514,-0.3135,0.9032,1.0,0.9282
120,2342000.0,14.0,7896571.428571428,0.04042153871227692,441045.06678921566,3284331.8965517236,8428.57142857143,0.0005816016718583652,0.8877,0.038,0.5449,0.9989,0.8246
122,471666.6666666667,5.5,916666.6666666666,0.04770294860994103,94372.33333333333,69333.33333333333,26666.666666666668,0.027045300878972278,2.3514,-0.1436,0.9297,0.9709,0.7616
123,-41444.444444444445,17.5,353333.3333333333,0.06326630945666478,74780.77777777778,40000.0,8000.0,0.020338983050847456,2.3514,-0.2418,0.8983,0.9774,1.0351
124,224000.0,6.0,324000.0,0.034761600747430704,223239.0,3284331.8965517236,5417000.0,0.3589318844420885,0.6241,1.0142499999999999,0.0215,-1.1736,0.9651
125,33173.913043478264,9.0,3238434.782608696,0.08676607717041801,70393.69565217392,108695.65217391304,1229608.6956521738,0.36736204925698845,0.2395,-0.0368,0.9675,0.6203,0.9591
126,264789.28136419,29.5,3111739.34226553,0.07050260293848173,171521.23995127893,158017.05237515224,4498617.539585871,0.7098389040736766,0.3907,0.9292,0.4867,-0.4676,0.798
127,2819470.8095297236,10.0,10972538.461538462,0.016672558866197968,114925.23076923077,1552153.8461538462,1515615.3846153845,0.12101018910337119,0.6102,-0.0006,0.8761,0.8619,0.58
