,"Возраст компании, лет",Чистые активы на 1 работника,Налоговая нагрузка,Налоги на 1 работника,Кредиторская задолженность на 1 работника,Фондовооруженность,Доля внеоборотных активов в общих,"2021, Коэффициент оборачиваемости совокупных активов, %","2021, Соотношение чистого долга к капиталу, %","2021, Коэффициент концентрации собственного капитала (автономии), %","2021, Коэффициент маневренности собственных средств, %","2021, Доля себестоимости как процент от выручки, %"
9601,0.5556377584679472,0.614713222621905,0.15841225972301853,0.5054389538200337,-0.2383396221565002,0.5481589898800312,-0.03249822608991669,-0.30047400926004403,-0.05113850305168506,0.2730512170435263,0.0954950751656566,-0.06947520794514786
5947,-0.2745509207773359,-0.0553250802001075,-0.16246038185977582,0.07685106995753067,0.7234486489583148,-0.197000810155335,-0.29587322612727524,0.05548880085414988,-0.35843919629258636,-0.03799828436505034,0.13417537608987962,-0.424961820932254
16162,-0.14247544907922266,-0.21138453985109457,0.4668913476026571,-0.22460388989917057,-0.2704618324942454,-0.2450498236470816,0.3486121922168552,0.06116168748735662,0.06682076904536868,0.1689506938579072,-0.09147907214472677,-0.14129702527922247
11760,-0.16134337360752454,0.19103769446832208,-0.2956631093802868,0.06922558070371149,-0.15811021529398026,-0.2775143434686265,-0.42361230049818,0.6312651418855759,-0.11038893632724832,0.2584437553135855,0.22818515651431756,-0.11359048151364311
13619,-0.2745509207773359,0.01985902103476138,-0.14300312127076067,0.048832534799503974,-0.2575216055809357,-0.15923032274558574,-0.13288957398949638,0.08186122802684384,-0.11114716856295022,0.283187006815322,0.13123273057412294,-0.19410982229516488
3460,0.3669585131849283,0.614713222621905,-0.3313860666143818,-0.28890369620777234,-0.19266823305070135,0.6431520038649038,0.1762240436356902,-0.1433220581767825,-0.0013659727223956242,0.18504871290722977,-0.03181306241076512,0.13047816615595856
18754,-0.3688905434188453,-0.06212254688709564,-0.17875103540057896,-0.24760373870314467,0.4456655486846803,0.25444939263889765,0.5560269193776054,-0.19372847070390192,0.04206990249424216,-0.007113936707461192,-0.41772553419427955,-0.1880125893629339
18530,-0.029267901909411337,-0.38528677737809497,0.6686139333856183,-0.2778405697556173,-0.25919622318148167,-0.2775143434686265,-0.42361230049818,-0.35288541912393806,-0.4932691356340074,-0.7104334078577244,0.22818515651431756,0.575038179067746
3335,0.15941134337360752,-0.19254083309816447,-0.21483401568674884,-0.2828890217357268,-0.16509240190121524,-0.21794496326790608,0.0518653388457086,0.21982929530468104,0.17985153161036005,-0.0028807539204171186,-0.08090877969996912,0.19118149990772942
16466,0.12167549431700375,-0.14272717250817538,0.0778069700070507,-0.2651318970422937,-0.2080950133708823,-0.17622832442264372,0.25908907648069157,-0.22893501141227657,0.03822458187032535,0.12274341695707398,-0.08501299581405085,0.10079898820642212
16409,-0.06700375096601512,0.614713222621905,-0.3313860666143818,-0.10495951945989913,0.7234486489583148,0.7224856565313735,0.21462175308358405,-0.22209290386993566,0.22269165292751775,0.051673643968953735,-0.1230737924191672,-0.424961820932254
