,Прибыль в расчете на 1 работника
16443,161461.07784431137
863,52866.666666666664
15013,336365.8008658009
18172,2216000.0
17029,18000.0
9157,364952.38095238095
14384,518827.5862068966
17499,820210.5263157894
5068,-852275.7575757576
5677,-58800.0
7545,-67857.14285714286
1680,1404692.3076923077
4204,-593400.0
144,2457656.5656565656
6627,85000.0
17959,1199933.3333333333
12058,1037000.0
10535,819517.2413793104
4802,2819470.8095297236
594,1317204.081632653
9262,2541.6666666666665
8881,27000.0
15221,-198000.0
17065,931000.0
3474,60484.375
7237,2702109.89010989
1479,754647.0588235294
13708,-119500.0
5254,195450.0
4324,46052.63157894737
17193,-852275.7575757576
18062,2513622.950819672
5242,1814125.0
16641,603333.3333333334
5599,2819470.8095297236
5900,2359275.362318841
4886,40379.31034482759
3800,662000.0
9840,149454.54545454544
16421,280166.6666666667
15055,-16123.809523809523
4570,3000.0
6351,2819470.8095297236
11417,-480500.0
6206,1043333.3333333334
6340,-48125.0
4277,-56928.57142857143
6668,149000.0
8384,42102.94117647059
19592,-21300.0
18077,-81000.0
4066,656500.0
15604,44000.0
19892,293440.0
19509,1572870.6536856745
16063,-852275.7575757576
1000,232279.69348659003
10698,28245.614035087718
10158,265500.0
5477,4625.0
214,-4000.0
8733,528865.470852018
15247,287443.0894308943
3377,2819470.8095297236
10619,-852275.7575757576
19639,2819470.8095297236
19186,-203318.18181818182
5729,29000.0
9380,-98000.0
9888,2819470.8095297236
9098,-743666.6666666666
979,282237.5
32,252600.0
2140,2027000.0
8549,-852275.7575757576
12489,234000.0
3604,-106285.71428571429
16905,-852275.7575757576
2555,1315730.7692307692
15065,1050000.0
2651,15818.181818181818
11888,1067000.0
3508,641000.0
17689,1936000.0
1375,2819470.8095297236
10801,822875.0
7158,451333.3333333333
8355,306857.14285714284
14480,-46750.0
13040,-270000.0
7654,148946.42857142858
11886,518000.0
15849,41500.0
14732,2394222.222222222
12910,-514625.0
7748,-221666.66666666666
11311,-229333.33333333334
11592,761982.7586206896
563,2819470.8095297236
11784,843000.0
922,-28082.56880733945
12424,817000.0
13494,278609.0909090909
13489,1015000.0
88,2097397.0588235296
2265,-852275.7575757576
8525,3444.4444444444443
19116,-134000.0
13908,2005034.7826086956
5671,1382000.0
7206,857555.5555555555
7053,354272.7272727273
11243,-28000.0
19537,458526.3157894737
12514,-239000.0
12756,244000.0
3044,441000.0
1499,407812.5
17191,1724000.0
16228,350379.3103448276
4016,153000.0
19313,-50575.2508361204
2063,526107.1428571428
1265,209000.0
13120,399974.358974359
15608,33000.0
12959,2819470.8095297236
10794,33000.0
899,2000.0
13894,1007285.7142857143
12441,1200000.0
8855,-852275.7575757576
18779,2819470.8095297236
6742,2819470.8095297236
11864,102000.0
258,2371714.285714286
9360,-323833.3333333333
8439,205333.33333333334
17724,778600.0
2585,1995722.2222222222
533,140250.0
15121,165625.95419847328
1640,-228263.15789473685
7735,-760269.2307692308
14181,2093100.0
5649,221739.13043478262
2787,122666.66666666667
8492,-19375.0
5404,-16800.0
7972,2819470.8095297236
7536,2819470.8095297236
8874,1654500.0
16622,371000.0
18124,37934.06593406593
18111,1817805.1948051949
6752,904750.0
15551,323166.6666666667
7538,57947.36842105263
8890,-19000.0
18138,207500.0
12552,730750.0
10462,-473777.77777777775
15686,571000.0
13456,416295.652173913
9225,324500.0
12927,74666.66666666667
15444,456714.28571428574
3222,2250.0
11342,508339.8058252427
11261,-62250.0
3316,42000.0
1494,-203526.31578947368
16933,337800.0
3466,-554375.0
8222,1374200.0
14772,2819470.8095297236
13204,-53200.0
2859,206000.0
17156,146500.0
15497,203343.75
9379,638000.0
19903,-17333.333333333332
17634,758473.6842105263
8178,1843625.0
6735,795500.0
9607,1397142.857142857
4395,2819470.8095297236
5708,-509105.2631578947
8593,41557.692307692305
3826,230625.0
2514,-852275.7575757576
8571,-58600.0
4800,-1285.7142857142858
11009,2819470.8095297236
8951,1999137.4663072776
14042,1220733.3333333333
5118,-299000.0
15169,2447142.8571428573
143,2169207.2699149265
2820,208000.0
18783,166500.0
1747,742683.1275720164
8084,-223333.33333333334
14175,63666.666666666664
67,-250080.64516129033
12260,216800.0
11781,1093000.0
19204,717800.0
1589,1329625.0
13357,75000.0
14908,325235.29411764705
1084,1813500.0
15775,10750.0
14848,9040.0
584,67111.11111111111
16070,72000.0
8793,2149558.1395348837
12682,-205666.66666666666
15479,638028.1690140845
12812,-58863.63636363636
5800,62376.237623762376
4233,285142.85714285716
12070,1410736.8421052631
6705,414687.5
879,-275857.14285714284
7920,270000.0
18731,2271615.3846153845
11559,192992.4812030075
15029,140000.0
19369,1620615.3846153845
14820,107800.0
18837,1458864.8648648649
7513,160600.0
19498,39000.0
17296,63800.0
11799,20000.0
678,337000.0
7400,145800.0
6204,143000.0
17178,253857.14285714287
3194,-128000.0
6820,-45800.0
2032,107111.11111111111
3132,2819470.8095297236
19580,14666.666666666666
16430,2819470.8095297236
8069,16636.363636363636
9702,102000.0
10539,21000.0
10532,1354000.0
1916,-224030.92783505155
16374,2819470.8095297236
12045,2300000.0
16784,2819470.8095297236
11936,18000.0
7063,900000.0
4051,203000.0
16597,583870.9677419355
6134,2819470.8095297236
10401,25000.0
6966,159666.66666666666
16705,67500.0
16039,15333.333333333334
11087,383677.4193548387
13019,2819470.8095297236
7534,-431000.0
19861,549200.0
7925,749285.7142857143
13416,-276333.3333333333
13341,-209583.33333333334
1852,-537000.0
14195,317000.0
8158,2084008.6956521738
411,2819470.8095297236
16138,2819470.8095297236
15517,573777.7777777778
17762,37000.0
13767,253000.0
19507,439000.0
1465,22000.0
1417,-76857.14285714286
12506,46476.63551401869
6240,1886285.7142857143
15964,-88000.0
11318,1137125.0
15622,236600.0
7787,152836.73469387754
4265,-31038.011695906433
5400,50705.882352941175
13217,2819470.8095297236
13527,632777.7777777778
8004,44214.28571428572
13968,1187220.3389830508
13484,1000937.5
13575,96153.84615384616
19911,5909.090909090909
7067,-852275.7575757576
14956,-852275.7575757576
4083,90000.0
14069,418666.6666666667
17953,2279441.8604651163
14806,22750.0
16814,611013.698630137
4734,1365200.0
3854,-106000.0
3120,224428.57142857142
12873,1011111.1111111111
17972,804375.0
9002,-18648.14814814815
3993,161000.0
18594,1013109.0909090909
8446,272500.0
13015,-69333.33333333333
19506,-177500.0
10695,-219642.85714285713
7764,1474116.6666666667
153,-852275.7575757576
1959,991241.8032786886
19845,1104859.375
12159,2819470.8095297236
16616,65068.96551724138
9993,890486.4864864865
1888,-427454.54545454547
18866,-852275.7575757576
18061,198737.876802097
475,1565500.0
11068,517555.55555555556
14924,64346.153846153844
5648,-64000.0
1983,2819470.8095297236
7125,65000.0
16975,104625.0
8576,1445088.4955752213
2552,975780.9523809524
11242,2819470.8095297236
18858,59702.380952380954
10104,100804.05405405405
5945,2819470.8095297236
2808,615000.0
4408,16875.0
621,2016352.9411764706
8089,1789500.0
2981,889039.2156862745
10555,269000.0
17862,817400.0
5186,1469187.5
16440,-31000.0
752,-619000.0
3020,2550436.660268714
10795,24600.0
1867,269115.21547933156
14273,1973923.076923077
198,117500.0
14037,-852275.7575757576
10506,308333.3333333333
1718,94395.83333333333
5043,-398000.0
13152,90827.58620689655
11469,180000.0
7275,1565000.0
6831,1467375.0
901,373000.0
12581,351404.4943820225
14487,14125.0
1181,370000.0
12628,605000.0
13606,952666.6666666666
10075,-852275.7575757576
4102,-36000.0
3216,942900.0
2647,-22500.0
8642,223278.68852459016
8706,2819470.8095297236
3038,274444.44444444444
7036,2819470.8095297236
11497,394924.0837696335
15743,1777.7777777777778
11855,1304500.0
523,2166700.729927007
16737,2819470.8095297236
12319,288000.0
8853,2819470.8095297236
13907,33283.018867924526
7978,17200.0
9506,2727666.6666666665
1448,1162684.2105263157
2102,2819470.8095297236
17519,146214.2857142857
2485,-167825.0
4501,63000.0
1841,1147400.0
7203,147000.0
3027,1841440.0
18957,2604802.6315789474
14829,226118.42105263157
8580,2558333.3333333335
13586,2819470.8095297236
857,-849211.7647058824
13027,1023666.6666666666
6576,48000.0
16424,-616133.3333333334
16127,149666.66666666666
8950,2748462.1848739497
3036,-394714.28571428574
6891,1064666.6666666667
6592,85388.88888888889
15916,-36381.720430107525
6960,-197142.85714285713
12376,2819470.8095297236
19800,-852275.7575757576
18381,2819470.8095297236
5057,2819470.8095297236
5699,238400.0
13190,784000.0
16441,-72722.22222222222
11665,15100.0
16684,367627.9069767442
3456,5666.666666666667
15252,2819470.8095297236
5262,175500.0
17961,554000.0
4482,108142.85714285714
14621,1052333.3333333333
1772,4000.0
10071,-194111.11111111112
5274,1255636.3636363635
10706,-103333.33333333333
9941,1085125.0
10450,1652500.0
9186,1181333.3333333333
14964,-852275.7575757576
12235,342000.0
3739,-38500.0
15166,1799666.6666666667
2087,2819470.8095297236
15848,312000.0
16204,154000.0
1438,121830.30303030302
17124,819110.4972375691
5617,2819470.8095297236
1684,667461.5384615385
16015,4250.0
9517,-79714.28571428571
3473,-5500.0
15885,-28000.0
8623,1077666.6666666667
9101,2819470.8095297236
16435,24609.756097560974
3726,2790333.3333333335
8673,1288566.210045662
19380,-852275.7575757576
7608,184080.0
4226,417500.0
5170,-210000.0
9650,868714.2857142857
4044,218000.0
4834,1725767.857142857
18849,1359833.3333333333
6933,1461333.3333333333
19501,-156400.0
14146,137863.15789473685
7576,1588453.3333333333
530,1196914.2857142857
13545,502400.0
16029,889385.9649122807
16469,2501666.6666666665
15914,96500.0
12751,1816437.5
14973,760000.0
13235,1080467.7419354839
6814,93375.0
11079,-462714.28571428574
18641,1804625.0
17542,32000.0
16665,2500.0
17133,998705.8823529412
3325,889428.5714285715
11241,1958800.0
9106,395988.23529411765
9951,554304.2168674698
13958,231333.33333333334
19649,-852275.7575757576
18377,2333052.6315789474
18973,803600.0
17967,-51235.294117647056
11835,1115666.6666666667
6252,54058.82352941176
1482,-488000.0
16707,30769.23076923077
1322,198000.0
15296,219250.0
11836,-852275.7575757576
16946,-238666.66666666666
2655,-161507.24637681158
1906,-139879.3103448276
13383,1603333.3333333333
934,1619333.3333333333
9066,-14400.0
19699,94500.0
4982,2819470.8095297236
15630,2819470.8095297236
8241,-25000.0
19811,69000.0
1618,1943723.4982332157
7526,-65142.857142857145
5144,-130600.0
6039,102000.0
12384,116200.0
13979,2819470.8095297236
9638,875100.0
7741,654705.8823529412
19898,17833.333333333332
5084,-162666.66666666666
4405,838000.0
10109,821392.8571428572
10014,134768.29268292684
14861,572000.0
14406,112991.07142857143
6138,186274.50980392157
15744,387333.3333333333
18001,177857.14285714287
10546,1034200.0
1112,-184000.0
251,-67129.62962962964
18110,211944.44444444444
5403,401133.3333333333
19294,-120806.45161290323
10246,815111.1111111111
14940,2819470.8095297236
13194,304000.0
29,165666.66666666666
821,543344.8275862068
9205,-852275.7575757576
2550,898000.0
15492,52095.23809523809
17741,-852275.7575757576
11403,2411.764705882353
14580,90666.66666666667
2628,-185000.0
16392,527694.4444444445
16899,734000.0
18739,31529.41176470588
4639,2819470.8095297236
19821,-705500.0
7047,2764833.3333333335
1415,29000.0
13959,1528976.1904761905
6622,1457500.0
19603,2819470.8095297236
5805,49142.857142857145
12998,213000.0
3816,629000.0
1214,785200.0
17002,2819470.8095297236
257,2034000.0
1887,1026714.2857142857
17262,110000.0
3611,251400.0
2011,2819470.8095297236
7013,6000.0
19611,952224.7191011236
17483,1033222.2222222222
15048,-289000.0
17389,2819470.8095297236
12560,129327.86885245901
1789,581491.3217623498
5014,1324444.4444444445
14317,380822.7848101266
4653,702000.0
7899,-36914.89361702128
9893,2010357.142857143
16281,-22245.222929936306
5168,2819470.8095297236
14724,-431929.8245614035
13438,281320.0
5860,213900.0
18752,45909.09090909091
6427,2464800.0
8640,840717.3913043478
2426,181714.2857142857
5536,742000.0
8610,-491181.8181818182
7584,-107570.80610021786
19521,-852275.7575757576
11300,15649.122807017544
13106,35500.0
4192,48596.8992248062
4524,595500.0
11840,1700000.0
19345,-461583.3333333333
8528,1910398.4819734346
4713,-595666.6666666666
13848,183230.76923076922
11126,20428.571428571428
12627,-129532.5
11123,-407666.6666666667
1568,422666.6666666667
18656,132740.38461538462
15952,115000.0
760,104727.27272727272
15453,-21075.0
17386,40000.0
4058,2819470.8095297236
15889,724947.0198675497
1259,2819470.8095297236
13946,577299.4454713494
6312,-429000.0
7634,-517711.1111111111
17635,382625.0
8556,42333.333333333336
9683,-785533.4302325582
18845,1477500.0
6504,-20800.0
6561,2819470.8095297236
12084,2819470.8095297236
9249,2819470.8095297236
19767,43000.0
1526,866363.6363636364
14052,1880633.0275229358
5563,18888.88888888889
7624,101818.18181818182
9231,178666.66666666666
6921,110000.0
18460,149333.33333333334
11625,-711000.0
16807,204500.0
2098,391066.6666666667
991,2573928.5714285714
2272,36000.0
2619,693000.0
6152,23200.0
550,2605919.254658385
4930,-257500.0
4495,-555727.2727272727
18073,392214.501510574
16095,-365000.0
14057,2819470.8095297236
14442,1465750.0
14235,491000.0
11018,487630.87248322146
15347,-780500.0
11345,-710000.0
1041,1688000.0
17237,2465545.4545454546
14312,-52000.0
6095,-114714.28571428571
8820,477666.6666666667
5044,2212000.0
1357,1244306.4516129033
5088,991541.6666666666
2278,39500.0
11041,552500.0
5298,-852275.7575757576
4520,2080000.0
1517,2819470.8095297236
17568,831625.0
17848,879210.843373494
12801,140133.33333333334
2994,80888.88888888889
10884,-162400.0
12003,319000.0
10596,-41800.0
4548,-852275.7575757576
17968,516931.8181818182
14684,1430563.6363636365
2872,2819470.8095297236
2423,50339.13043478261
17001,55758.620689655174
8330,-123800.0
2736,-559000.0
6395,13750.0
14889,2819470.8095297236
5464,-155492.14659685863
11632,2255000.0
6089,891263.1578947369
441,2819470.8095297236
8227,2819470.8095297236
14402,82217.39130434782
6253,175000.0
1782,2202364.8068669527
8807,21181.81818181818
15047,153187.5
19578,1154144.927536232
4941,2819470.8095297236
3006,1898250.0
7648,-852275.7575757576
1683,2819470.8095297236
2923,-20000.0
7398,73000.0
4460,50333.333333333336
16587,1288855.9077809798
19371,544000.0
3031,-190888.88888888888
9173,2819470.8095297236
7644,1131000.0
13212,63200.0
664,2707928.5714285714
2605,30046.082949308755
7674,1120000.0
16559,451291.6666666667
16108,765500.0
1228,-147333.33333333334
9051,-150000.0
4979,58166.666666666664
136,1356419.3548387096
5782,-852275.7575757576
505,933600.0
18364,420166.6666666667
18655,-852275.7575757576
1730,6910.313901345292
16598,-260187.5
13450,1439000.0
10701,-852275.7575757576
5303,623500.0
16929,1548142.857142857
6286,-702000.0
7865,145738.09523809524
5036,61250.0
810,114500.0
7911,13500.0
11060,407240.0
8035,-800230.7692307692
14293,1387540.5405405406
11233,6480.0
15584,336074.0740740741
114,1938533.3333333333
18612,165166.66666666666
15080,14888.888888888889
9474,-227900.0
15207,1361785.7142857143
1481,257333.33333333334
14092,159666.66666666666
6910,964000.0
379,2819470.8095297236
11055,-152468.085106383
12178,39750.0
11590,34000.0
11914,191166.66666666666
19567,2819470.8095297236
925,168923.07692307694
17984,7000.0
14347,1631800.0
6882,2819470.8095297236
5314,70181.81818181818
5467,114666.66666666667
16679,32833.333333333336
11006,338143.8848920863
19325,353589.74358974356
4471,114107.14285714286
19019,844000.0
7571,800690.9090909091
17286,105000.0
225,317125.0
19409,368698.9247311828
7329,69042.25352112677
9889,-622464.2857142857
14688,15200.0
12096,99000.0
895,2819470.8095297236
17764,2819470.8095297236
10268,260063.9097744361
10247,-92333.33333333333
10749,67250.0
11073,385000.0
8209,2246909.090909091
18801,1277692.3076923077
15188,1160000.0
18948,177125.0
6843,470000.0
8495,-296392.85714285716
15140,772500.0
578,756000.0
15613,1442250.0
16395,529000.0
1894,-63285.71428571428
7578,60500.0
4728,2677230.769230769
9247,560000.0
12582,402700.0
13113,-295333.3333333333
15746,694512.2377622378
16797,-137076.92307692306
5972,425500.0
3907,2819470.8095297236
3954,92803.57142857143
11171,83888.88888888889
2771,228903.2967032967
1824,1071000.0
5833,325500.0
12484,337500.0
14556,87000.0
2150,433027.8592375367
19935,2819470.8095297236
13076,-167910.11235955055
6491,-125615.38461538461
15876,67940.59405940594
19046,1570000.0
16820,2819470.8095297236
5622,-70900.0
8210,1740757.5757575757
11788,2819470.8095297236
12787,35197.99054373523
4629,986666.6666666666
19962,1102000.0
17123,31176.470588235294
3102,1624500.0
8090,506250.0
15519,85937.5
13856,201149.4252873563
17755,2168500.0
18794,-18333.333333333332
2347,2484633.3333333335
8309,517625.0
12923,949625.0
8218,2819470.8095297236
16192,562000.0
17440,-56000.0
11214,-487444.44444444444
3519,14000.0
3710,2695.6521739130435
16153,66000.0
11804,638400.0
11745,-480666.6666666667
19983,73100.0
12415,133777.77777777778
2827,2442714.285714286
14459,-852275.7575757576
1067,-12500.0
4180,-583250.0
15548,176000.0
2588,-852275.7575757576
6809,905600.0
11255,-817775.5102040817
1779,2819470.8095297236
14165,223750.0
10146,108500.0
2942,500.0
9917,128822.58064516129
5602,730000.0
5216,-23800.0
10687,207000.0
6848,457000.0
3732,32000.0
1500,-102764.70588235294
8708,187562.5
412,223375.0
14464,1451705.8823529412
126,264789.28136419
4423,465000.0
15917,2000.0
6052,746071.4285714285
1361,493333.3333333333
405,9000.0
11495,336833.3333333333
3348,782166.6666666666
13095,137937.5
17171,2593000.0
11051,2819470.8095297236
7213,2439000.0
13317,826000.0
11429,-241583.33333333334
16213,173266.66666666666
6564,15000.0
5919,60000.0
9401,2819470.8095297236
9453,-852275.7575757576
18395,126000.0
3639,-852275.7575757576
6009,-467500.0
3245,878283.0188679246
5848,737000.0
18946,1311051.5463917525
9832,594260.8695652174
17992,138272.72727272726
6333,-852275.7575757576
11694,-852275.7575757576
6618,70000.0
15649,2819470.8095297236
14522,260000.0
6614,134700.0
8710,392651.28205128206
8156,408181.8181818182
218,307166.6666666667
12352,250500.0
7721,2773750.0
8327,-2652.1739130434785
6494,126250.0
33,126486.11111111111
5601,2667461.5384615385
2686,-525000.0
15098,-263000.0
6140,-417000.0
14658,1171322.5806451612
18204,165625.0
6197,-169555.55555555556
1083,43333.333333333336
18572,-125500.0
19841,115579.71014492754
11543,594619.0476190476
6521,208111.11111111112
14482,164000.0
2229,-852275.7575757576
12775,920473.6842105263
10611,101000.0
8462,27000.0
17017,10000.0
4857,126300.0
12613,81500.0
12256,9500.0
5690,-852275.7575757576
13526,57661.971830985916
6529,125666.66666666667
5454,1222500.0
3378,137333.33333333334
11673,1884.6153846153845
18709,-58000.0
14056,438750.0
4598,2783615.3846153845
8469,131666.66666666666
1510,2819470.8095297236
16796,1001779.2207792208
14907,116554.05405405405
13906,126840.90909090909
5767,-852275.7575757576
3355,-158947.36842105264
11887,450000.0
960,63142.857142857145
8501,23846.153846153848
7267,75000.0
6448,-363619.04761904763
60,1116583.3333333333
9427,242000.0
16940,12000.0
19990,-852275.7575757576
3293,2694909.090909091
14539,-316000.0
11934,243000.0
3425,82600.0
7012,137935.48387096773
19050,50080.0
3858,2711695.652173913
13858,155071.42857142858
9485,-852275.7575757576
10395,-12428.57142857143
17922,126650.0
14574,188612.24489795917
11587,1716750.0
18412,303500.0
4437,2819470.8095297236
19933,194000.0
16483,440333.3333333333
4908,174000.0
16341,-583300.0
17177,237761.90476190476
19836,2819470.8095297236
5973,2352111.111111111
1707,2819470.8095297236
6655,1251527.7777777778
18421,114500.0
3720,1975555.0458715595
18088,-852275.7575757576
4688,535000.0
7226,69387.09677419355
12949,450400.0
13649,896600.0
18763,1417636.3636363635
17058,441625.0
19425,1188333.3333333333
8082,5942.028985507246
11218,2819470.8095297236
2308,541014.8148148148
6068,-336666.6666666667
8803,26153.846153846152
9880,2819470.8095297236
9255,2819470.8095297236
5520,487750.0
2616,1815250.0
7836,1840791.4438502674
9490,-291974.358974359
10207,613115.9420289855
10898,293422.8187919463
12409,-852275.7575757576
15059,12909.09090909091
1793,103766.66666666667
10483,29500.0
11821,321076.92307692306
11163,-121500.0
14850,-852275.7575757576
13690,18000.0
1051,619107.6923076923
15778,847800.0
12939,-285000.0
2490,22954.75113122172
9681,-253200.0
18778,-90214.28571428571
9598,2696703.703703704
7406,-378250.0
13430,-55941.17647058824
11909,69000.0
4963,9000.0
19447,422714.28571428574
10789,266000.0
8221,2819470.8095297236
14362,2819470.8095297236
18643,268000.0
7432,48500.0
1021,969603.7735849057
3566,520927.2727272727
19135,728000.0
4927,-116500.0
1984,2819470.8095297236
19589,2819470.8095297236
4386,154000.0
1990,214666.66666666666
7665,2819470.8095297236
1328,843700.0
1052,-353000.0
4997,209400.0
7801,2819470.8095297236
17903,33127.65957446808
8977,594200.0
13345,-852275.7575757576
19368,2324736.8421052634
18878,383692.3076923077
7167,234936.5671641791
2916,7894.736842105263
18267,891652.1739130435
904,1038500.0
9400,4000.0
14465,313384.6153846154
18886,-852275.7575757576
12587,1349000.0
18521,2819470.8095297236
18941,-176463.41463414635
118,482023.8095238095
11618,-221500.0
12874,1479250.0
12964,2819470.8095297236
5110,815875.0
1701,202192.3076923077
9892,2484250.0
9768,1084807.6923076923
17176,880289.4736842106
16877,-852275.7575757576
11229,670900.0
12978,-357000.0
13186,40740.74074074074
19701,-170444.44444444444
2945,-24130.434782608696
18079,942500.0
12272,2068400.0
5691,-852275.7575757576
5099,2066666.6666666667
12686,320800.0
15328,1780058.3333333333
16830,429666.6666666667
6238,2020000.0
11144,242500.0
2660,32200.0
3170,4500.0
17003,-203000.0
13051,366000.0
17458,2819470.8095297236
17348,2741000.0
17476,-166376.62337662338
17153,-197333.33333333334
11597,179600.0
13499,879956.5217391305
13625,73500.0
13034,537750.0
17782,14000.0
16463,634322.033898305
3635,-7920.0
9396,512200.0
11145,4333.333333333333
5071,753666.6666666666
9627,-13300.0
18156,-552000.0
17872,370637.6811594203
7108,170000.0
16926,89818.18181818182
1778,1547000.0
17173,2819470.8095297236
17507,1792272.7272727273
13515,251500.0
8656,2819470.8095297236
4689,307333.3333333333
11121,-17500.0
3470,193631.57894736843
6950,1348916.6666666667
12007,773250.0
5877,-852275.7575757576
16586,301454.54545454547
6482,991666.6666666666
14524,937368.8524590164
951,52055.555555555555
1587,-599000.0
637,2819470.8095297236
15934,21000.0
16240,403333.3333333333
16780,2819470.8095297236
15528,736800.0
16083,2098490.291262136
16274,1322500.0
6101,165160.0
14920,-88300.0
18920,1060111.111111111
999,34000.0
2187,2819470.8095297236
9538,-44205.882352941175
8784,-95384.61538461539
19475,23000.0
8242,1613288.888888889
10851,118000.0
18757,1981388.392857143
17343,816270.8333333334
8002,98000.0
7094,2819470.8095297236
13486,560250.0
13101,148428.57142857142
125,33173.913043478264
18761,151500.0
14303,1296976.1904761905
4038,-56000.0
12371,1265896.551724138
3035,524487.8048780488
17271,2819470.8095297236
15326,531500.0
7300,2800.0
5524,1177666.6666666667
8015,-71000.0
10788,71000.0
15003,8125.0
3133,2098388.888888889
12698,625666.6666666666
15724,971062.5
1258,845000.0
4860,1725305.8823529412
9585,587978.4946236559
11657,858272.7272727273
5728,-34705.882352941175
5466,288000.0
3423,867600.0
6786,-48646.666666666664
8689,-46000.0
62,384666.6666666667
9573,-274692.3076923077
14322,1774950.0
7236,-147305.08474576272
12006,-510615.3846153846
16592,69000.0
5958,-430000.0
14876,-852275.7575757576
19192,2385600.0
5176,2819470.8095297236
6360,2819470.8095297236
16030,-146950.0
3362,1387333.3333333333
10350,-63260.86956521739
19000,908478.2608695652
6420,-188171.05263157896
15474,168500.0
17858,777000.0
11498,2819470.8095297236
5037,1567428.5714285714
2522,915157.8947368421
17709,1056400.0
19291,96250.0
3964,1104800.0
8557,231324.21875
10840,744000.0
10027,236333.33333333334
18975,997111.1111111111
13322,745666.6666666666
6176,2819470.8095297236
12302,1626777.7777777778
18282,302000.0
996,1486162.1621621621
3872,2090476.923076923
3229,25333.333333333332
17450,815000.0
10379,2819470.8095297236
4312,2703678.5714285714
2407,88881.81818181818
7520,2076.923076923077
10727,108000.0
1398,667375.0
15777,-58000.0
7625,97500.0
10256,-57000.0
12248,-143000.0
6797,-469000.0
14156,2197000.0
5223,1240500.0
8968,-430000.0
13351,12329.268292682927
4617,951500.0
4311,-579333.3333333334
18862,223761.90476190476
6408,139400.0
8192,502673.4693877551
16064,60833.333333333336
14417,-337400.0
9862,375375.0
8421,487375.0
6178,159029.58579881658
11722,-423571.4285714286
3641,94000.0
17876,120413.79310344828
3183,-194500.0
16163,896597.2602739726
8481,-220500.0
3943,63500.0
6371,2819470.8095297236
1242,-31000.0
7033,874333.3333333334
9913,104000.0
2512,-762234.0425531915
14447,-852275.7575757576
13694,-314666.6666666667
16543,191357.14285714287
7371,-155000.0
18037,198871.21212121213
13314,-236000.0
17704,-852275.7575757576
527,1083750.0
3351,237965.9090909091
19176,136000.0
19338,500.0
15753,510094.3396226415
13434,949869.5652173914
8542,33000.0
5352,2410500.0
7658,5360.360360360361
12351,805750.0
6907,1070618.4210526317
16824,-142000.0
7612,37708.86075949367
8367,2819470.8095297236
15278,2819470.8095297236
12781,-120343.51145038167
2489,1040777.7777777778
10369,926860.4651162791
19615,130697.91666666667
2464,280666.6666666667
5025,2269750.0
16577,-852275.7575757576
19005,1028121.2121212122
1036,117500.0
7026,448637.6811594203
8509,410810.8108108108
16118,-17538.46153846154
3290,-707000.0
10903,1822800.0
8100,226000.0
9142,370394.9044585987
14427,-852275.7575757576
17075,78000.0
14315,-249888.88888888888
9229,1409322.5806451612
2050,374166.6666666667
917,-852275.7575757576
18349,158423.7288135593
16523,269090.9090909091
12683,336100.0
10932,520000.0
6556,436363.63636363635
17564,142000.0
14080,1106500.0
15008,-383666.6666666667
18411,72510.20408163265
8919,-227500.0
9319,2819470.8095297236
9366,-240800.0
135,247500.0
9981,2130000.0
1627,2819470.8095297236
7188,1773966.2162162163
1174,750000.0
12893,-68500.0
5592,-852275.7575757576
13657,427818.1818181818
12531,39000.0
13860,441500.0
8056,1420577.7777777778
7423,400000.0
4573,1472000.0
5655,2819470.8095297236
15442,-189636.36363636365
5329,35000.0
16704,17000.0
17601,-852275.7575757576
14800,143000.0
10853,-22090.909090909092
804,2819470.8095297236
16104,1431500.0
13427,1325857.142857143
12098,40500.0
12157,334687.5
16753,-50000.0
2246,-159000.0
406,2819470.8095297236
761,176653.33333333334
12897,2819470.8095297236
2865,127695.65217391304
11578,-127000.0
18670,-17517.006802721087
11039,355818.1818181818
2355,1464958.3333333333
1318,546888.8888888889
3376,2819470.8095297236
9301,2819470.8095297236
19520,-486000.0
19092,534571.4285714285
6145,130400.0
2988,1150181.8181818181
14425,2819470.8095297236
1654,-407777.77777777775
16157,2819470.8095297236
3069,229000.0
6626,-289000.0
5550,-626666.6666666666
14512,-852275.7575757576
13988,122500.0
17126,112415.04854368932
2130,454700.0
5101,2057000.0
4889,2819470.8095297236
19551,2819470.8095297236
7466,1195400.0
15606,-297500.0
4077,25000.0
6695,19600.0
15265,1972500.0
12883,342450.0
5894,2635000.0
12264,2819470.8095297236
18943,2670070.4225352113
10329,32333.333333333332
2203,982375.0
2591,2819470.8095297236
7549,2819470.8095297236
5189,1246600.0
16434,47888.88888888889
5646,-149620.6896551724
7847,14818.181818181818
19215,349000.0
7717,741710.0
3284,165000.0
82,2819470.8095297236
5429,59000.0
7630,120333.33333333333
12903,158414.14141414143
18970,515619.04761904763
4113,2574166.6666666665
2107,-852275.7575757576
15633,87371.42857142857
3796,-852275.7575757576
4223,-225113.20754716982
18144,1013000.0
1807,-231000.0
7550,-50000.0
4145,2819470.8095297236
19880,-183333.33333333334
13123,98468.75
15795,560750.0
13286,2819470.8095297236
1266,2819470.8095297236
10667,2819470.8095297236
14938,-63287.5
13765,-19000.0
9479,2819470.8095297236
9167,1472075.9493670885
3520,755375.0
2100,38000.0
17551,2819470.8095297236
9737,2819470.8095297236
12789,422885.3333333333
13,1007222.2222222222
