,Прибыль в расчете на 1 работника
6720,-374807.6923076923
4218,2819470.8095297236
5160,1629519.4805194805
17245,2819470.8095297236
11325,1540666.6666666667
133,41000.0
4067,-67409.09090909091
9152,832754.0983606557
19059,181641.59292035399
15378,890000.0
18338,886000.0
8161,2819470.8095297236
6398,-105500.0
813,207285.7142857143
543,2335035.714285714
10776,-6600.0
5703,173600.0
18664,324500.0
1628,28388.88888888889
18388,531068.1818181818
17063,862166.6666666666
232,-155333.33333333334
11974,283333.3333333333
1256,-852275.7575757576
6549,99000.0
5591,-852275.7575757576
18142,-44714.28571428572
16210,2819470.8095297236
12933,-38178.57142857143
14990,-379000.0
18145,139000.0
15524,172916.66666666666
16976,-414500.0
1211,-81153.84615384616
15731,68500.0
8721,429000.0
15981,126000.0
17619,-8500.0
18339,251333.33333333334
8193,2819470.8095297236
2330,-214317.5965665236
3748,-852275.7575757576
15112,314500.0
14714,1090583.3333333333
6277,561850.0
6581,-25620.689655172413
13331,691500.0
19749,143000.0
8350,477340.42553191487
8054,178000.0
19129,-246901.23456790124
14707,1166569.7674418604
8110,16114.754098360656
8074,1400.0
4239,1188644.4444444445
2028,2819470.8095297236
15615,199000.0
19222,2819470.8095297236
1466,2576416.6666666665
8654,4000.0
15699,54000.0
15,1260000.0
5369,97031.25
3906,2473000.0
14740,12000.0
18053,1019794.8717948718
2472,-494000.0
9863,2580814.814814815
14380,371571.4285714286
8823,2500.0
7705,487250.0
4302,-454000.0
1414,1447242.6470588236
8182,523629.95594713656
14123,-852275.7575757576
6028,206333.33333333334
18474,222520.0
11410,802000.0
16562,967462.5407166124
3763,454.54545454545456
6778,-84885.24590163934
174,2819470.8095297236
4614,62000.0
6014,269000.0
5218,592000.0
5399,-618166.6666666666
12676,-428363.63636363635
8061,74416.66666666667
2968,-347190.72164948453
7501,-86000.0
1100,1470595.041322314
12758,-151000.0
19546,714333.3333333334
2058,270767.85714285716
5883,-82000.0
6791,657000.0
15288,2819470.8095297236
15011,-429259.25925925927
5718,96000.0
6704,1651375.0
13933,-435030.76923076925
13915,591507.9365079365
12327,-176333.33333333334
16120,95500.0
10213,-639222.2222222222
368,2782000.0
14673,2819470.8095297236
10266,-852275.7575757576
1530,469333.3333333333
7652,-437000.0
526,412843.47826086957
14403,2819470.8095297236
11689,85000.0
11717,77666.66666666667
8827,1871500.0
18766,311356.89045936393
8955,2819470.8095297236
10446,-690000.0
12495,137000.0
10437,1619000.0
16599,-374333.3333333333
18954,3782.608695652174
16575,2819470.8095297236
3237,201333.33333333334
10438,-40000.0
18372,72166.66666666667
17367,543525.0
3772,97800.0
4487,50750.0
4061,90666.66666666667
11708,-459842.1052631579
16087,-852275.7575757576
1745,-375333.3333333333
14349,1429424.5810055865
19999,2819470.8095297236
2910,735000.0
6313,478292.01101928373
19424,2819470.8095297236
13999,151111.11111111112
3003,2819470.8095297236
18672,2819470.8095297236
8292,632000.0
4942,1185311.418685121
12784,1311666.6666666667
12904,440523.3644859813
6473,86500.0
7574,1909324.3243243243
13218,-852275.7575757576
18889,-852275.7575757576
3684,91000.0
962,-33000.0
5731,-852275.7575757576
19482,802384.6153846154
9009,36250.0
10177,2819470.8095297236
11416,15000.0
280,49195.12195121951
13497,76230.0
16031,987666.6666666666
5892,1424133.3333333333
11451,-111500.0
10195,-440589.74358974356
5094,547833.3333333334
9645,64545.454545454544
4954,1183375.0
10125,100472.86821705426
10464,395634.6153846154
7025,2333426.8292682925
7611,2819470.8095297236
17598,375625.0
15019,762000.0
13864,2819470.8095297236
2779,2819470.8095297236
5582,80901.6393442623
17583,508077.7027027027
19056,-132250.0
6331,2819470.8095297236
14842,1666187.898089172
17691,2819470.8095297236
10403,80428.57142857143
5652,463433.3333333333
18183,2250.0
3582,590331.6831683168
10919,-29000.0
5500,225090.9090909091
12137,157500.0
836,51572.916666666664
1145,-351000.0
3167,131200.0
1049,2000.0
13412,2819470.8095297236
1250,2284000.0
6066,-852275.7575757576
12896,650054.032889585
303,-807225.8064516129
5505,358560.0
9652,201000.0
5275,208418.18181818182
11572,-852275.7575757576
2862,2790000.0
9722,1384000.0
8274,84700.0
19562,-852275.7575757576
17322,234898.9898989899
7894,1813000.0
12995,2819470.8095297236
6033,15000.0
14813,-242000.0
15218,2081500.0
18614,-128021.85792349727
5693,679230.7692307692
1815,-92395.3488372093
17076,608272.7272727273
3539,587333.3333333334
15787,2819470.8095297236
8741,376000.0
14527,-852275.7575757576
5623,500072.0
4872,470000.0
12341,136000.0
1302,1594462.5
7006,262846.1538461539
1272,108000.0
5571,1875.0
7475,-700000.0
19389,2009750.0
301,1431866.6666666667
2626,-108260.86956521739
1180,460424.24242424243
14142,122000.0
830,2350702.7027027025
1920,869000.0
11910,-852275.7575757576
4856,-17033.333333333332
17258,2819470.8095297236
1470,-852275.7575757576
4316,66375.0
11360,104125.0
7469,-273842.1052631579
13458,-156458.76288659795
792,2819470.8095297236
15129,776192.3076923077
6450,-512000.0
12618,-852275.7575757576
15240,8243.243243243243
2467,2819470.8095297236
13431,1252727.2727272727
2948,2819470.8095297236
19460,115816.75392670157
6070,-142833.33333333334
3413,6000.0
16549,116000.0
641,-215428.57142857142
19375,1889357.142857143
19671,-550000.0
4574,417750.0
8442,542400.0
5579,200402.71772699198
6302,1017428.5714285715
807,2819470.8095297236
10857,2819470.8095297236
11483,-84000.0
7701,-852275.7575757576
16839,249205.88235294117
18517,452068.9655172414
9857,294280.0
4020,2661153.846153846
15882,2819470.8095297236
14514,581694.4444444445
4080,2819470.8095297236
2145,392333.3333333333
1899,143585.7142857143
11101,-127272.72727272728
17312,1429863.6363636365
17641,319411.76470588235
5022,-394533.3333333333
1028,402530.4347826087
613,2819470.8095297236
13752,8666.666666666666
17370,90500.0
2207,-361000.0
2608,34767.12328767123
8216,156000.0
1527,2819470.8095297236
8407,1463090.9090909092
3147,61666.666666666664
1031,2146265.9574468085
170,614833.3333333334
16590,-207454.54545454544
15263,2819470.8095297236
9105,273000.0
18487,2819470.8095297236
19359,993449.6124031008
17513,-852275.7575757576
1820,-106000.0
13488,2819470.8095297236
7777,-30555.555555555555
10093,515600.0
7783,19000.0
16203,1202500.0
14834,191677.9661016949
1010,-118326.08695652174
13466,1281000.0
7438,1118823.5294117648
13060,78666.66666666667
9217,2819470.8095297236
10894,779617.9775280899
7995,2819470.8095297236
13677,166963.15789473685
8060,-356250.0
